,icu_beds,commuting_in,commuting_out,commuting_within,density,percent_democrat,percent_in_poverty,pop_under18,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019,cases_60days,cases_70days,cases_80days
0,72,54070,130657,233454,393.99641884,0.542633830486,7.5,180294,99868,37.8,31.9,87096,822083,446.0,1228.0,1801.0
3,1606,489235,317505,2095418,5450.3843595,0.743757709047,13.8,1160425,724730,36.6,38.0,63347,5150233,1194.0,6473.0,15474.0
6,651,317959,235247,1242712,4005.6166459,0.509601544158,10.5,711188,440488,37.8,39.9,89373,3175692,187.0,786.0,1299.0
9,1004,79525,40810,1752902,487.50954904,0.456797128628,12.3,1042245,615277,36.1,32.0,65234,4485414,299.0,1326.0,2146.0
12,2126,483659,334665,4182123,2473.5073498,0.714071865319,14.2,2246521,1299277,36.2,31.8,67986,10039107,1216.0,5940.0,10496.0
15,313,240720,118222,774537,1493.2046662,0.733480189578,7.3,432684,246908,37.0,51.3,125933,1927852,890.0,1484.0,1922.0
18,447,371770,123140,270497,13801.32086,0.794723195076,17.5,134169,91123,32.7,44.8,68743,803907,1624.0,4926.0,8669.0
21,337,307615,114866,353484,18795.223512,0.8553169356270001,10.1,116897,131438,38.2,57.1,110601,881549,450.0,875.0,1236.0
24,39,52187,15371,266491,456.91738082,0.713768627206,10.8,110062,67689,34.9,50.7,71789,546695,269.0,351.0,401.0
27,570,72833,43025,1461512,792.91438376,0.560710165858,11.5,726344,439595,35.6,38.1,78777,3338330,1696.0,2325.0,3627.0
30,648,89600,45372,783313,1615.3697451,0.544659220051,17.2,499124,223805,33.4,27.6,54210,2003554,734.0,1126.0,1585.0
33,187,89375,36735,236643,1750.3315009,0.479235278844,11.6,143044,68170,34.5,38.9,64580,571327,287.0,476.0,1235.0
36,32,1575,1146,55393,37.99127697,0.582590082055,20.3,26259,22647,38.0,29.8,49471,135558,52.0,54.0,57.0
39,396,120790,115932,500893,1607.9350016,0.585567433683,14.3,362761,202207,36.0,30.4,69475,1552058,954.0,1090.0,1172.0
42,113,18916,10084,199020,296.38858142,0.416136023952,13.0,111194,76680,37.5,30.4,59408,522798,330.0,378.0,398.0
45,92,31582,75812,109059,544.70103033,0.622546726726,7.9,98813,64390,37.9,26.2,82808,447643,199.0,325.0,413.0
48,282,116130,38273,490467,1563.7909353,0.428482871035,9.0,311760,114930,32.6,34.5,73619,1160437,2051.0,2832.0,3717.0
51,82,17940,37428,197589,313.74622239,0.707222967207,9.9,100818,91097,41.7,34.9,81002,494336,220.0,286.0,373.0
54,32,22730,15258,51743,184.08552018,0.647661723566,8.8,29894,25360,41.1,34.9,85624,137744,61.0,79.0,91.0
57,66,46516,43886,81726,497.3152999,0.7881500077310001,6.6,52908,54625,46.5,58.8,122933,258826,224.0,244.0,299.0
60,85,84068,83258,188061,830.61446109,0.593956058164,8.8,137409,73044,36.5,43.7,82819,601592,474.0,556.0,638.0
63,450,247854,81556,977642,1065.0027467,0.7214892465389999,9.2,445378,274609,37.1,51.4,94822,2252782,6056.0,6942.0,7531.0
66,90,19780,41125,96829,542.27582552,0.398082018362,10.4,70479,98927,48.0,29.3,59587,403253,580.0,776.0,893.0
69,432,131673,74071,531016,1440.3883066,0.514932646806,14.7,315758,189676,36.9,32.7,58361,1471968,1124.0,1432.0,1703.0
72,282,237262,256588,462479,2266.8038359,0.7931424750689999,9.0,344513,215917,37.4,46.0,101744,1671329,1624.0,2085.0,2581.0
75,59,175598,196195,154853,1784.3023037,0.612466844243,6.5,148906,113400,40.9,53.0,100184,706775,6065.0,7004.0,7691.0
78,54,20420,8356,35656,52.607970005,0.569459702387,9.0,14954,17342,42.9,40.5,65163,89886,51.0,58.0,66.0
81,28,6521,2866,22801,47.841294958,0.382898874125,13.3,12884,10324,37.1,28.6,57329,60760,86.0,104.0,106.0
84,538,496827,123502,341073,2019.9144194000005,0.692273308888,13.5,230272,113402,35.4,51.4,70808,1063937,2880.0,3516.0,3872.0
87,131,162092,160184,218300,1708.6818505,0.763759178293,6.8,161248,117867,39.6,49.9,122930,766573,1197.0,1464.0,1739.0
90,70,56930,60392,99291,283.09018519,0.411666622379,7.1,85719,71099,41.9,38.6,89175,398329,150.0,170.0,176.0
93,175,113096,88562,403532,1331.7237897,0.583929619916,8.4,255854,113852,36.0,51.8,80169,1111761,870.0,1061.0,1389.0
96,163,88933,212044,283769,1608.6423209000006,0.689128114392,7.8,261300,169782,39.4,41.7,101463,1153526,934.0,1066.0,1259.0
99,147,177837,199786,250231,4004.5571387,0.5449741512899999,6.8,199408,155306,41.8,48.3,100181,932202,16185.0,17150.0,17668.0
102,179,152533,171896,282569,2246.9377106,0.649051798386,8.3,217100,158902,40.8,48.2,94521,967506,29884.0,31610.0,32880.0
105,128,57252,196726,112952,941.89227299,0.516482503543,7.9,205484,74854,36.0,46.1,92310,811688,1183.0,1452.0,1676.0
108,20,9594,4605,27608,26.427687744,0.392850629218,10.9,18122,13790,40.2,26.7,57243,77200,123.0,165.0,222.0
111,461,193326,276223,377465,4767.2768183,0.512509818244,5.8,295105,232164,41.6,45.2,115301,1356924,36965.0,38743.0,39837.0
114,535,21468,15993,896544,287.22956575,0.523983533245,14.0,504354,301845,37.1,23.9,57155,2266715,4411.0,5144.0,6140.0
117,331,14255,15056,189113,74.652791386,0.463642358158,10.4,99352,69819,38.1,30.5,63636,471519,988.0,1154.0,1378.0
120,918,461890,159527,1886183,2762.5492191,0.54223505185,16.5,1240376,452327,33.3,31.0,60241,4713325,6967.0,8817.0,10921.0
123,28,58838,38360,57299,409.03186847,0.296007640879,3.8,60531,27140,39.2,59.0,115930,238412,431.0,456.0,512.0
