fips,county_name,total_population,pop_under18,pop_over65,median_age
1001,"Autauga County, Alabama",55200,13369,8050,37.8
1003,"Baldwin County, Alabama",208107,45677,40665,42.8
1005,"Barbour County, Alabama",25782,5436,4634,39.9
1007,"Bibb County, Alabama",22527,4659,3661,39.9
1009,"Blount County, Alabama",57645,13468,10233,40.8
1011,"Bullock County, Alabama",10352,2150,1616,39.6
1013,"Butler County, Alabama",20025,4566,3806,40.7
1015,"Calhoun County, Alabama",115098,25196,19386,39.7
1017,"Chambers County, Alabama",33826,7006,6409,43
1019,"Cherokee County, Alabama",25853,5286,5621,45.9
1021,"Chilton County, Alabama",43930,10647,6927,38.6
1023,"Choctaw County, Alabama",13075,2650,2884,46.1
1025,"Clarke County, Alabama",24387,5389,4626,42.3
1027,"Clay County, Alabama",13378,2819,2652,43.7
1029,"Cleburne County, Alabama",14938,3438,2803,42.5
1031,"Coffee County, Alabama",51288,12161,8375,39.3
1033,"Colbert County, Alabama",54495,11608,10502,42.7
1035,"Conecuh County, Alabama",12514,2651,2707,44.8
1037,"Coosa County, Alabama",10855,1850,2368,46.9
1039,"Covington County, Alabama",37351,8190,7650,43.9
1041,"Crenshaw County, Alabama",13865,3116,2542,41.5
1043,"Cullman County, Alabama",82313,18572,14803,40.6
1045,"Dale County, Alabama",49255,11506,7939,37.5
1047,"Dallas County, Alabama",40029,9780,6705,39.5
1049,"DeKalb County, Alabama",71200,17480,11619,39.3
1051,"Elmore County, Alabama",81212,18239,11770,38.6
1053,"Escambia County, Alabama",37328,8328,6476,39.7
1055,"Etowah County, Alabama",102939,22281,18877,41.3
1057,"Fayette County, Alabama",16585,3562,3392,43.8
1059,"Franklin County, Alabama",31542,7806,5100,37.6
1061,"Geneva County, Alabama",26491,5856,5152,42.4
1063,"Greene County, Alabama",8426,1862,1716,42.5
1065,"Hale County, Alabama",14887,3481,2717,39.2
1067,"Henry County, Alabama",17124,3587,3696,44.1
1069,"Houston County, Alabama",104352,24386,17615,39.8
1071,"Jackson County, Alabama",52094,11159,9972,43.3
1073,"Jefferson County, Alabama",659892,151658,99146,37.7
1075,"Lamar County, Alabama",13933,3065,2938,44.5
1077,"Lauderdale County, Alabama",92585,18522,17876,41.4
1079,"Lawrence County, Alabama",33171,7232,5787,42.2
1081,"Lee County, Alabama",159287,34202,17739,31.4
1083,"Limestone County, Alabama",93052,21412,13723,39.5
1085,"Lowndes County, Alabama",10236,2330,1828,41.6
1087,"Macon County, Alabama",19054,3411,3542,38
1089,"Madison County, Alabama",357560,79195,51308,38.5
1091,"Marengo County, Alabama",19538,4468,3690,42.7
1093,"Marion County, Alabama",29965,6316,6219,44.3
1095,"Marshall County, Alabama",95145,23654,15941,38.7
1097,"Mobile County, Alabama",414659,98337,63650,37.6
1099,"Monroe County, Alabama",21512,4920,4060,42.3
1101,"Montgomery County, Alabama",226941,53669,32183,36.2
1103,"Morgan County, Alabama",119122,27384,19865,40.4
1105,"Perry County, Alabama",9486,2069,1764,37.7
1107,"Pickens County, Alabama",20298,4002,3729,42.4
1109,"Pike County, Alabama",33403,6539,4886,30.8
1111,"Randolph County, Alabama",22574,4914,4512,42.7
1113,"Russell County, Alabama",58213,14358,7776,35.9
1115,"St. Clair County, Alabama",87306,19998,13891,40.3
1117,"Shelby County, Alabama",211261,50611,30125,38.9
1119,"Sumter County, Alabama",12985,2522,2198,35.8
1121,"Talladega County, Alabama",80565,17348,13757,41.1
1123,"Tallapoosa County, Alabama",40636,8574,8274,43.7
1125,"Tuscaloosa County, Alabama",206213,43176,25685,32.7
1127,"Walker County, Alabama",64493,14353,12024,42.4
1129,"Washington County, Alabama",16643,3703,3038,43.6
1131,"Wilcox County, Alabama",10809,2642,1985,40.8
1133,"Winston County, Alabama",23875,4992,5027,44.9
2013,"Aleutians East Borough, Alaska",3425,488,302,42.7
2016,"Aleutians West Census Area, Alaska",5750,963,334,37.6
2020,"Anchorage Municipality, Alaska",296112,73197,29492,33.2
2050,"Bethel Census Area, Alaska",18040,6447,1284,27.1
2060,"Bristol Bay Borough, Alaska",890,194,85,41.8
2068,"Denali Borough, Alaska",2232,257,162,43.1
2070,"Dillingham Census Area, Alaska",4975,1536,430,30.3
2090,"Fairbanks North Star Borough, Alaska",99653,24155,9124,31.1
2100,"Haines Borough, Alaska",2518,558,614,44.9
2105,"Hoonah-Angoon Census Area, Alaska",2132,330,415,50.2
2110,"Juneau City and Borough, Alaska",32330,6982,3877,38.1
2122,"Kenai Peninsula Borough, Alaska",58220,13279,9092,40.8
2130,"Ketchikan Gateway Borough, Alaska",13804,3080,1950,39.6
2150,"Kodiak Island Borough, Alaska",13649,3574,1248,33.5
2158,"Kusilvak Census Area, Alaska",8198,3320,456,23.8
2164,"Lake and Peninsula Borough, Alaska",1375,373,109,33.5
2170,"Matanuska-Susitna Borough, Alaska",103464,28102,11030,35
2180,"Nome Census Area, Alaska",9925,3404,742,28.1
2185,"North Slope Borough, Alaska",9797,2540,627,34.8
2188,"Northwest Arctic Borough, Alaska",7734,2720,596,27.2
2195,"Petersburg Borough, Alaska",3255,734,701,41
2198,"Prince of Wales-Hyder Census Area, Alaska",6474,1538,960,41
2220,"Sitka City and Borough, Alaska",8738,1939,1268,38.8
2230,"Skagway Municipality, Alaska",1061,185,120,38.5
2240,"Southeast Fairbanks Census Area, Alaska",6876,1866,886,36.3
2261,"Valdez-Cordova Census Area, Alaska",9301,2199,1152,39
2275,"Wrangell City and Borough, Alaska",2484,493,548,49.5
2282,"Yakutat City and Borough, Alaska",689,187,85,36.4
2290,"Yukon-Koyukuk Census Area, Alaska",5415,1498,739,35.3
4001,"Apache County, Arizona",71522,19831,10420,34.7
4003,"Cochise County, Arizona",126279,27796,26550,40.6
4005,"Coconino County, Arizona",140217,29647,16259,30.6
4007,"Gila County, Arizona",53400,10849,14783,49.7
4009,"Graham County, Arizona",37879,10333,5012,33.3
4011,"Greenlee County, Arizona",9504,2639,1155,34.2
4012,"La Paz County, Arizona",20701,3413,7847,56
4013,"Maricopa County, Arizona",4253913,1042245,615277,36.1
4015,"Mohave County, Arizona",206064,36884,59337,50.9
4017,"Navajo County, Arizona",108705,29680,18351,36.4
4019,"Pima County, Arizona",1019722,218448,190252,38.3
4021,"Pinal County, Arizona",419721,98104,80907,38.9
4023,"Santa Cruz County, Arizona",46584,12872,7891,36.6
4025,"Yavapai County, Arizona",224645,37771,66850,52.9
4027,"Yuma County, Arizona",207829,53271,37429,34.3
5001,"Arkansas County, Arkansas",18124,4176,3342,41.4
5003,"Ashley County, Arkansas",20537,4781,3980,41.7
5005,"Baxter County, Arkansas",41219,7226,12650,52.1
5007,"Benton County, Arkansas",258980,69288,33925,35.3
5009,"Boone County, Arkansas",37288,8513,7491,42.4
5011,"Bradley County, Arkansas",10948,2598,2014,40.2
5013,"Calhoun County, Arkansas",5202,1037,1082,45.5
5015,"Carroll County, Arkansas",27887,6132,6102,44.8
5017,"Chicot County, Arkansas",10826,2456,2112,42.7
5019,"Clark County, Arkansas",22385,4266,3593,34.1
5021,"Clay County, Arkansas",15061,3316,3139,43
5023,"Cleburne County, Arkansas",25230,4799,6697,49.4
5025,"Cleveland County, Arkansas",8226,1862,1650,42.7
5027,"Columbia County, Arkansas",23892,5065,4035,36
5029,"Conway County, Arkansas",20906,4784,3931,41.7
5031,"Craighead County, Arkansas",105701,26195,14104,34.1
5033,"Crawford County, Arkansas",62472,15486,10068,38.7
5035,"Crittenden County, Arkansas",49013,13447,6495,35.1
5037,"Cross County, Arkansas",16998,4083,3052,41.2
5039,"Dallas County, Arkansas",7432,1696,1580,43.7
5041,"Desha County, Arkansas",11887,3054,2156,39.1
5043,"Drew County, Arkansas",18502,4023,3091,37
5045,"Faulkner County, Arkansas",122416,28726,14488,32.5
5047,"Franklin County, Arkansas",17780,4172,3361,41.3
5049,"Fulton County, Arkansas",12139,2487,3071,48.1
5051,"Garland County, Arkansas",98296,20063,22442,44.9
5053,"Grant County, Arkansas",18086,4149,3116,40.4
5055,"Greene County, Arkansas",44623,10991,6946,37.9
5057,"Hempstead County, Arkansas",22018,5715,3873,39.9
5059,"Hot Spring County, Arkansas",33520,7007,6148,41.3
5061,"Howard County, Arkansas",13389,3451,2338,38.8
5063,"Independence County, Arkansas",37264,8897,6398,39.4
5065,"Izard County, Arkansas",13559,2461,3380,48
5067,"Jackson County, Arkansas",17225,3473,2985,39.9
5069,"Jefferson County, Arkansas",70424,15772,11468,38.8
5071,"Johnson County, Arkansas",26291,6388,4209,38
5073,"Lafayette County, Arkansas",6915,1364,1578,46.3
5075,"Lawrence County, Arkansas",16669,3730,3206,41.1
5077,"Lee County, Arkansas",9398,1773,1731,41.8
5079,"Lincoln County, Arkansas",13695,2374,2002,38.6
5081,"Little River County, Arkansas",12417,2748,2535,42.6
5083,"Logan County, Arkansas",21757,4825,4184,41.5
5085,"Lonoke County, Arkansas",72206,18874,9272,36.1
5087,"Madison County, Arkansas",16076,3811,2962,42.6
5089,"Marion County, Arkansas",16438,3049,4496,51.7
5091,"Miller County, Arkansas",43759,10433,7000,38.9
5093,"Mississippi County, Arkansas",42831,11400,6028,36.2
5095,"Monroe County, Arkansas",7249,1476,1626,47
5097,"Montgomery County, Arkansas",8993,1696,2393,50
5099,"Nevada County, Arkansas",8440,1914,1680,44.8
5101,"Newton County, Arkansas",7848,1550,1929,49.1
5103,"Ouachita County, Arkansas",24106,5451,4602,42.3
5105,"Perry County, Arkansas",10322,2353,1957,43.5
5107,"Phillips County, Arkansas",19034,4956,3346,38.5
5109,"Pike County, Arkansas",10808,2349,2177,42.8
5111,"Poinsett County, Arkansas",24054,5736,4198,39.7
5113,"Polk County, Arkansas",20163,4701,4471,43.7
5115,"Pope County, Arkansas",63644,14579,9589,35
5117,"Prairie County, Arkansas",8244,1681,1890,46.2
5119,"Pulaski County, Arkansas",393463,92276,56988,36.9
5121,"Randolph County, Arkansas",17603,4025,3482,41.5
5123,"St. Francis County, Arkansas",26294,5773,3984,38.9
5125,"Saline County, Arkansas",118009,27906,20250,39.2
5127,"Scott County, Arkansas",10442,2706,2077,41
