,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
0,2020-01-21,1,0,53061,2020-03-21,446.0,9.0,2020-03-31,1228.0,32.0,2020-04-10,1801.0,66.0,72,771904,143234,233454,130657,54070,393.99641884,822083,0.542633830486,0.37620195414499996,7.5,180294,99868,786620,37.8
3,2020-01-24,1,0,17031,2020-03-24,1194.0,12.0,2020-04-03,6473.0,141.0,2020-04-13,15474.0,543.0,1606,5238541,1005046,2095418,317505,489235,5450.3843595,5150233,0.743757709047,0.214193162273,13.8,1160425,724730,5223719,36.6
6,2020-01-25,1,0,6059,2020-03-25,187.0,1.0,2020-04-04,786.0,14.0,2020-04-14,1299.0,19.0,651,3155816,598030,1242712,235247,317959,4005.6166459,3175692,0.509601544158,0.432801094389,10.5,711188,440488,3164182,37.8
9,2020-01-26,1,0,4013,2020-03-26,299.0,4.0,2020-04-05,1326.0,31.0,2020-04-15,2146.0,60.0,1004,4155501,808534,1752902,40810,79525,487.50954904,4485414,0.45679712862800004,0.4912624154070001,12.3,1042245,615277,4253913,36.1
12,2020-01-26,1,0,6037,2020-03-26,1216.0,21.0,2020-04-05,5940.0,132.0,2020-04-15,10496.0,402.0,2126,10105722,1800341,4182123,334665,483659,2473.5073498,10039107,0.714071865319,0.233886938213,14.2,2246521,1299277,10098052,36.2
15,2020-01-31,1,0,6085,2020-03-31,890.0,31.0,2020-04-10,1484.0,50.0,2020-04-20,1922.0,84.0,313,1911226,338720,774537,118222,240720,1493.2046662,1927852,0.733480189578,0.20852979907400002,7.3,432684,246908,1922200,37.0
18,2020-02-01,1,0,25025,2020-04-01,1624.0,15.0,2020-04-11,4926.0,81.0,2020-04-21,8669.0,285.0,447,780685,125537,270497,123140,371770,13801.32086,803907,0.794723195076,0.164873796196,17.5,134169,91123,791766,32.7
21,2020-02-02,2,0,6075,2020-04-02,450.0,7.0,2020-04-12,875.0,14.0,2020-04-22,1236.0,21.0,337,864263,179193,353484,114866,307615,18795.223512,881549,0.8553169356270001,0.09442505372369996,10.1,116897,131438,870044,38.2
24,2020-02-05,1,0,55025,2020-04-05,269.0,8.0,2020-04-15,351.0,15.0,2020-04-25,401.0,21.0,39,522837,93985,266491,15371,52187,456.91738082,546695,0.713768627206,0.233879939225,10.8,110062,67689,529843,34.9
27,2020-02-10,1,0,6073,2020-04-10,1696.0,44.0,2020-04-20,2325.0,72.0,2020-04-30,3627.0,140.0,570,3283665,604412,1461512,43025,72833,792.91438376,3338330,0.560710165858,0.382352214351,11.5,726344,439595,3302833,35.6
30,2020-02-12,1,0,48029,2020-04-12,734.0,27.0,2020-04-22,1126.0,39.0,2020-05-02,1585.0,48.0,648,1892004,307269,783313,45372,89600,1615.3697451,2003554,0.544659220051,0.40980448366800004,17.2,499124,223805,1925865,33.4
33,2020-02-17,10,0,31055,2020-04-17,287.0,8.0,2020-04-27,476.0,14.0,2020-05-07,1235.0,17.0,187,549706,95539,236643,36735,89375,1750.3315009,571327,0.479235278844,0.465314693597,11.6,143044,68170,554992,34.5
36,2020-02-20,1,0,6023,2020-04-20,52.0,0.0,2020-04-30,54.0,0.0,2020-05-10,57.0,0.0,32,135490,31200,55393,1146,1575,37.99127697,135558,0.582590082055,0.32355214651,20.3,26259,22647,135768,38.0
