,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
0,2020-01-21,1,0,53061,2020-03-21,446.0,9.0,2020-03-31,1228.0,32.0,2020-04-10,1801.0,66.0,72,771904,143234,233454,130657,54070
3,2020-01-24,1,0,17031,2020-03-24,1194.0,12.0,2020-04-03,6473.0,141.0,2020-04-13,15474.0,543.0,1606,5238541,1005046,2095418,317505,489235
6,2020-01-25,1,0,6059,2020-03-25,187.0,1.0,2020-04-04,786.0,14.0,2020-04-14,1299.0,19.0,651,3155816,598030,1242712,235247,317959
9,2020-01-26,1,0,4013,2020-03-26,299.0,4.0,2020-04-05,1326.0,31.0,2020-04-15,2146.0,60.0,1004,4155501,808534,1752902,40810,79525
12,2020-01-26,1,0,6037,2020-03-26,1216.0,21.0,2020-04-05,5940.0,132.0,2020-04-15,10496.0,402.0,2126,10105722,1800341,4182123,334665,483659
15,2020-01-31,1,0,6085,2020-03-31,890.0,31.0,2020-04-10,1484.0,50.0,2020-04-20,1922.0,84.0,313,1911226,338720,774537,118222,240720
18,2020-02-01,1,0,25025,2020-04-01,1624.0,15.0,2020-04-11,4926.0,81.0,2020-04-21,8669.0,285.0,447,780685,125537,270497,123140,371770
21,2020-02-02,2,0,6075,2020-04-02,450.0,7.0,2020-04-12,875.0,14.0,2020-04-22,1236.0,21.0,337,864263,179193,353484,114866,307615
24,2020-02-05,1,0,55025,2020-04-05,269.0,8.0,2020-04-15,351.0,15.0,2020-04-25,401.0,21.0,39,522837,93985,266491,15371,52187
27,2020-02-10,1,0,6073,2020-04-10,1696.0,44.0,2020-04-20,2325.0,72.0,2020-04-30,3627.0,140.0,570,3283665,604412,1461512,43025,72833
30,2020-02-12,1,0,48029,2020-04-12,734.0,27.0,2020-04-22,1126.0,39.0,2020-05-02,1585.0,48.0,648,1892004,307269,783313,45372,89600
33,2020-02-17,10,0,31055,2020-04-17,287.0,8.0,2020-04-27,476.0,14.0,2020-05-07,1235.0,17.0,187,549706,95539,236643,36735,89375
36,2020-02-20,1,0,6023,2020-04-20,52.0,0.0,2020-04-30,54.0,0.0,2020-05-10,57.0,0.0,32,135490,31200,55393,1146,1575
39,2020-02-21,1,0,6067,2020-04-21,954.0,35.0,2020-05-01,1090.0,43.0,2020-05-11,1172.0,52.0,396,1495400,279005,500893,115932,120790
42,2020-02-24,4,0,53063,2020-04-24,330.0,19.0,2020-05-04,378.0,22.0,2020-05-14,398.0,30.0,113,490764,105082,199020,10084,18916
45,2020-02-24,1,0,6095,2020-04-24,199.0,4.0,2020-05-04,325.0,6.0,2020-05-14,413.0,14.0,92,434981,90069,109059,75812,31582
48,2020-02-25,1,0,49035,2020-04-25,2051.0,25.0,2020-05-05,2832.0,35.0,2020-05-15,3717.0,55.0,282,1106700,164497,490467,38273,116130
51,2020-02-26,1,0,6097,2020-04-26,220.0,2.0,2020-05-06,286.0,4.0,2020-05-16,373.0,4.0,82,500943,124291,197589,37428,17940
54,2020-02-26,1,0,6055,2020-04-26,61.0,2.0,2020-05-06,79.0,2.0,2020-05-16,91.0,3.0,32,141005,33686,51743,15258,22730
57,2020-02-26,1,0,6041,2020-04-26,224.0,12.0,2020-05-06,244.0,14.0,2020-05-16,299.0,14.0,66,260814,72684,81726,43886,46516
60,2020-02-28,1,0,41067,2020-04-28,474.0,11.0,2020-05-08,556.0,12.0,2020-05-18,638.0,15.0,85,572071,100693,188061,83258,84068
63,2020-02-28,1,0,53033,2020-04-28,6056.0,429.0,2020-05-08,6942.0,487.0,2020-05-18,7531.0,530.0,450,2118119,386511,977642,81556,247854
66,2020-03-01,1,0,12081,2020-04-30,580.0,55.0,2020-05-10,776.0,74.0,2020-05-20,893.0,84.0,90,363542,120595,96829,41125,19780
