fips,county,state
53061,Snohomish,Washington
53061,Snohomish,Washington
53061,Snohomish,Washington
17031,Cook,Illinois
53061,Snohomish,Washington
6059,Orange,California
17031,Cook,Illinois
53061,Snohomish,Washington
4013,Maricopa,Arizona
6037,Los Angeles,California
6059,Orange,California
17031,Cook,Illinois
53061,Snohomish,Washington
17031,Cook,Illinois
6059,Orange,California
53061,Snohomish,Washington
4013,Maricopa,Arizona
6037,Los Angeles,California
4013,Maricopa,Arizona
6037,Los Angeles,California
6059,Orange,California
17031,Cook,Illinois
53061,Snohomish,Washington
53061,Snohomish,Washington
17031,Cook,Illinois
6059,Orange,California
4013,Maricopa,Arizona
6037,Los Angeles,California
4013,Maricopa,Arizona
6037,Los Angeles,California
6059,Orange,California
17031,Cook,Illinois
53061,Snohomish,Washington
53061,Snohomish,Washington
17031,Cook,Illinois
6085,Santa Clara,California
6037,Los Angeles,California
4013,Maricopa,Arizona
6059,Orange,California
4013,Maricopa,Arizona
6037,Los Angeles,California
6059,Orange,California
6085,Santa Clara,California
17031,Cook,Illinois
25025,Suffolk,Massachusetts
53061,Snohomish,Washington
53061,Snohomish,Washington
25025,Suffolk,Massachusetts
17031,Cook,Illinois
6085,Santa Clara,California
4013,Maricopa,Arizona
6059,Orange,California
6037,Los Angeles,California
6075,San Francisco,California
53061,Snohomish,Washington
17031,Cook,Illinois
25025,Suffolk,Massachusetts
6085,Santa Clara,California
4013,Maricopa,Arizona
6059,Orange,California
6037,Los Angeles,California
6075,San Francisco,California
53061,Snohomish,Washington
4013,Maricopa,Arizona
6037,Los Angeles,California
6059,Orange,California
6075,San Francisco,California
6085,Santa Clara,California
17031,Cook,Illinois
25025,Suffolk,Massachusetts
53061,Snohomish,Washington
25025,Suffolk,Massachusetts
55025,Dane,Wisconsin
6085,Santa Clara,California
17031,Cook,Illinois
6075,San Francisco,California
6059,Orange,California
6037,Los Angeles,California
4013,Maricopa,Arizona
55025,Dane,Wisconsin
53061,Snohomish,Washington
25025,Suffolk,Massachusetts
17031,Cook,Illinois
6085,Santa Clara,California
6075,San Francisco,California
6059,Orange,California
6037,Los Angeles,California
4013,Maricopa,Arizona
55025,Dane,Wisconsin
53061,Snohomish,Washington
25025,Suffolk,Massachusetts
17031,Cook,Illinois
6085,Santa Clara,California
6059,Orange,California
6037,Los Angeles,California
4013,Maricopa,Arizona
6075,San Francisco,California
55025,Dane,Wisconsin
4013,Maricopa,Arizona
6037,Los Angeles,California
6059,Orange,California
6075,San Francisco,California
6085,Santa Clara,California
17031,Cook,Illinois
25025,Suffolk,Massachusetts
53061,Snohomish,Washington
53061,Snohomish,Washington
25025,Suffolk,Massachusetts
55025,Dane,Wisconsin
17031,Cook,Illinois
6085,Santa Clara,California
6075,San Francisco,California
6059,Orange,California
6037,Los Angeles,California
4013,Maricopa,Arizona
55025,Dane,Wisconsin
53061,Snohomish,Washington
25025,Suffolk,Massachusetts
17031,Cook,Illinois
6085,Santa Clara,California
6073,San Diego,California
6059,Orange,California
6037,Los Angeles,California
4013,Maricopa,Arizona
6075,San Francisco,California
17031,Cook,Illinois
55025,Dane,Wisconsin
53061,Snohomish,Washington
25025,Suffolk,Massachusetts
6085,Santa Clara,California
6073,San Diego,California
6059,Orange,California
6037,Los Angeles,California
4013,Maricopa,Arizona
6075,San Francisco,California
55025,Dane,Wisconsin
