,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days
0,2020-01-21,1,0,53061,2020-03-21,446.0,9.0,2020-03-31,1228.0,32.0,2020-04-10,1801.0,66.0
3,2020-01-24,1,0,17031,2020-03-24,1194.0,12.0,2020-04-03,6473.0,141.0,2020-04-13,15474.0,543.0
6,2020-01-25,1,0,6059,2020-03-25,187.0,1.0,2020-04-04,786.0,14.0,2020-04-14,1299.0,19.0
9,2020-01-26,1,0,4013,2020-03-26,299.0,4.0,2020-04-05,1326.0,31.0,2020-04-15,2146.0,60.0
12,2020-01-26,1,0,6037,2020-03-26,1216.0,21.0,2020-04-05,5940.0,132.0,2020-04-15,10496.0,402.0
15,2020-01-31,1,0,6085,2020-03-31,890.0,31.0,2020-04-10,1484.0,50.0,2020-04-20,1922.0,84.0
18,2020-02-01,1,0,25025,2020-04-01,1624.0,15.0,2020-04-11,4926.0,81.0,2020-04-21,8669.0,285.0
21,2020-02-02,2,0,6075,2020-04-02,450.0,7.0,2020-04-12,875.0,14.0,2020-04-22,1236.0,21.0
24,2020-02-05,1,0,55025,2020-04-05,269.0,8.0,2020-04-15,351.0,15.0,2020-04-25,401.0,21.0
27,2020-02-10,1,0,6073,2020-04-10,1696.0,44.0,2020-04-20,2325.0,72.0,2020-04-30,3627.0,140.0
30,2020-02-12,1,0,48029,2020-04-12,734.0,27.0,2020-04-22,1126.0,39.0,2020-05-02,1585.0,48.0
33,2020-02-17,10,0,31055,2020-04-17,287.0,8.0,2020-04-27,476.0,14.0,2020-05-07,1235.0,17.0
36,2020-02-20,1,0,6023,2020-04-20,52.0,0.0,2020-04-30,54.0,0.0,2020-05-10,57.0,0.0
39,2020-02-21,1,0,6067,2020-04-21,954.0,35.0,2020-05-01,1090.0,43.0,2020-05-11,1172.0,52.0
42,2020-02-24,4,0,53063,2020-04-24,330.0,19.0,2020-05-04,378.0,22.0,2020-05-14,398.0,30.0
45,2020-02-24,1,0,6095,2020-04-24,199.0,4.0,2020-05-04,325.0,6.0,2020-05-14,413.0,14.0
48,2020-02-25,1,0,49035,2020-04-25,2051.0,25.0,2020-05-05,2832.0,35.0,2020-05-15,3717.0,55.0
51,2020-02-26,1,0,6097,2020-04-26,220.0,2.0,2020-05-06,286.0,4.0,2020-05-16,373.0,4.0
54,2020-02-26,1,0,6055,2020-04-26,61.0,2.0,2020-05-06,79.0,2.0,2020-05-16,91.0,3.0
57,2020-02-26,1,0,6041,2020-04-26,224.0,12.0,2020-05-06,244.0,14.0,2020-05-16,299.0,14.0
60,2020-02-28,1,0,41067,2020-04-28,474.0,11.0,2020-05-08,556.0,12.0,2020-05-18,638.0,15.0
63,2020-02-28,1,0,53033,2020-04-28,6056.0,429.0,2020-05-08,6942.0,487.0,2020-05-18,7531.0,530.0
66,2020-03-01,1,0,12081,2020-04-30,580.0,55.0,2020-05-10,776.0,74.0,2020-05-20,893.0,84.0
69,2020-03-01,1,0,12057,2020-04-30,1124.0,23.0,2020-05-10,1432.0,37.0,2020-05-20,1703.0,64.0
72,2020-03-01,1,0,6001,2020-04-30,1624.0,63.0,2020-05-10,2085.0,75.0,2020-05-20,2581.0,88.0
75,2020-03-02,1,0,25021,2020-05-01,6065.0,522.0,2020-05-11,7004.0,661.0,2020-05-21,7691.0,759.0
78,2020-03-02,1,0,33009,2020-05-01,51.0,1.0,2020-05-11,58.0,1.0,2020-05-21,66.0,1.0
81,2020-03-02,1,0,53071,2020-05-01,86.0,0.0,2020-05-11,104.0,2.0,2020-05-21,106.0,2.0
84,2020-03-02,2,0,13121,2020-05-01,2880.0,122.0,2020-05-11,3516.0,145.0,2020-05-21,3872.0,190.0
87,2020-03-02,1,0,6081,2020-05-01,1197.0,52.0,2020-05-11,1464.0,65.0,2020-05-21,1739.0,75.0
90,2020-03-02,1,0,6061,2020-05-01,150.0,8.0,2020-05-11,170.0,8.0,2020-05-21,176.0,9.0
93,2020-03-03,1,0,37183,2020-05-02,870.0,19.0,2020-05-12,1061.0,23.0,2020-05-22,1389.0,32.0
96,2020-03-03,1,0,6013,2020-05-02,934.0,28.0,2020-05-12,1066.0,32.0,2020-05-22,1259.0,36.0
99,2020-03-04,1,0,34003,2020-05-03,16185.0,1210.0,2020-05-13,17150.0,1409.0,2020-05-23,17668.0,1521.0
102,2020-03-04,9,0,36119,2020-05-03,29884.0,1203.0,2020-05-13,31610.0,1368.0,2020-05-23,32880.0,1451.0
105,2020-03-04,1,0,48157,2020-05-03,1183.0,28.0,2020-05-13,1452.0,40.0,2020-05-23,1676.0,41.0
108,2020-03-04,1,0,53007,2020-05-03,123.0,6.0,2020-05-13,165.0,7.0,2020-05-23,222.0,7.0
111,2020-03-05,1,0,36059,2020-05-04,36965.0,2221.0,2020-05-14,38743.0,2485.0,2020-05-24,39837.0,2586.0
114,2020-03-05,1,0,32003,2020-05-04,4411.0,223.0,2020-05-14,5144.0,282.0,2020-05-24,6140.0,331.0
117,2020-03-05,1,0,32031,2020-05-04,988.0,35.0,2020-05-14,1154.0,45.0,2020-05-24,1378.0,52.0
120,2020-03-05,4,0,48201,2020-05-04,6967.0,140.0,2020-05-14,8817.0,193.0,2020-05-24,10921.0,220.0
123,2020-03-05,1,0,47187,2020-05-04,431.0,9.0,2020-05-14,456.0,10.0,2020-05-24,512.0,10.0
126,2020-03-05,3,0,24031,2020-05-04,5411.0,301.0,2020-05-14,7588.0,437.0,2020-05-24,9958.0,558.0
129,2020-03-05,1,0,25017,2020-05-04,15757.0,997.0,2020-05-14,18381.0,1327.0,2020-05-24,20437.0,1518.0
132,2020-03-05,1,0,12113,2020-05-04,158.0,8.0,2020-05-14,180.0,9.0,2020-05-24,207.0,9.0
135,2020-03-05,1,0,8059,2020-05-04,1431.0,85.0,2020-05-14,1748.0,107.0,2020-05-24,2040.0,144.0
138,2020-03-05,1,0,8035,2020-05-04,531.0,23.0,2020-05-14,621.0,31.0,2020-05-24,675.0,44.0
141,2020-03-06,1,0,42127,2020-05-05,109.0,5.0,2020-05-15,107.0,7.0,2020-05-25,118.0,7.0
144,2020-03-06,1,0,37037,2020-05-05,403.0,11.0,2020-05-15,495.0,24.0,2020-05-25,588.0,26.0
147,2020-03-06,1,0,42045,2020-05-05,4326.0,320.0,2020-05-15,5409.0,466.0,2020-05-25,6234.0,524.0
150,2020-03-06,1,0,40143,2020-05-05,645.0,36.0,2020-05-15,752.0,37.0,2020-05-25,926.0,44.0
153,2020-03-06,2,0,36087,2020-05-05,12144.0,383.0,2020-05-15,12637.0,434.0,2020-05-25,12996.0,454.0
156,2020-03-06,1,0,34007,2020-05-05,4251.0,180.0,2020-05-15,5255.0,262.0,2020-05-25,6103.0,308.0
159,2020-03-06,1,0,45019,2020-05-05,463.0,8.0,2020-05-15,501.0,10.0,2020-05-25,561.0,11.0
162,2020-03-06,1,0,53053,2020-05-05,1558.0,54.0,2020-05-15,1772.0,66.0,2020-05-25,1880.0,74.0
165,2020-03-06,1,0,27123,2020-05-05,583.0,37.0,2020-05-15,1287.0,61.0,2020-05-25,2437.0,97.0
168,2020-03-06,1,0,53031,2020-05-05,28.0,0.0,2020-05-15,29.0,0.0,2020-05-25,30.0,0.0
171,2020-03-06,1,0,53011,2020-05-05,368.0,22.0,2020-05-15,401.0,25.0,2020-05-25,427.0,25.0
174,2020-03-06,1,0,49053,2020-05-05,85.0,0.0,2020-05-15,165.0,0.0,2020-05-25,274.0,0.0
177,2020-03-06,1,0,49011,2020-05-05,302.0,2.0,2020-05-15,354.0,2.0,2020-05-25,414.0,2.0
180,2020-03-06,1,0,45055,2020-05-05,247.0,10.0,2020-05-15,261.0,12.0,2020-05-25,300.0,14.0
