,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty
0,2020-01-21,1,0,2020-03-31,1228,32,53061,72,771904,143234,233454,130657,54070,393.99641884,822083,0.542633830486,0.376201954145,7.5
1,2020-01-24,1,0,2020-04-03,6473,141,17031,1606,5238541,1005046,2095418,317505,489235,5450.3843595,5150233,0.743757709047,0.214193162273,13.8
2,2020-01-25,1,0,2020-04-04,786,14,6059,651,3155816,598030,1242712,235247,317959,4005.6166459,3175692,0.509601544158,0.432801094389,10.5
3,2020-01-26,1,0,2020-04-05,5940,132,6037,2126,10105722,1800341,4182123,334665,483659,2473.5073498,10039107,0.714071865319,0.233886938213,14.2
4,2020-01-26,1,0,2020-04-05,1326,31,4013,1004,4155501,808534,1752902,40810,79525,487.50954904,4485414,0.456797128628,0.4912624154070001,12.3
5,2020-01-31,1,0,2020-04-10,1484,50,6085,313,1911226,338720,774537,118222,240720,1493.2046662,1927852,0.733480189578,0.208529799074,7.3
6,2020-02-01,1,0,2020-04-11,4926,81,25025,447,780685,125537,270497,123140,371770,13801.32086,803907,0.794723195076,0.164873796196,17.5
7,2020-02-02,2,0,2020-04-12,875,14,6075,337,864263,179193,353484,114866,307615,18795.223512,881549,0.8553169356270001,0.09442505372369997,10.1
8,2020-02-05,1,0,2020-04-15,351,15,55025,39,522837,93985,266491,15371,52187,456.91738082,546695,0.713768627206,0.233879939225,10.8
9,2020-02-10,1,0,2020-04-20,2325,72,6073,570,3283665,604412,1461512,43025,72833,792.91438376,3338330,0.560710165858,0.382352214351,11.5
10,2020-02-12,1,0,2020-04-22,1126,39,48029,648,1892004,307269,783313,45372,89600,1615.3697451,2003554,0.544659220051,0.409804483668,17.2
11,2020-02-17,10,0,2020-04-27,476,14,31055,187,549706,95539,236643,36735,89375,1750.3315009,571327,0.479235278844,0.465314693597,11.6
12,2020-02-20,1,0,2020-04-30,54,0,6023,32,135490,31200,55393,1146,1575,37.99127697,135558,0.582590082055,0.32355214651,20.3
13,2020-02-21,1,0,2020-05-01,1090,43,6067,396,1495400,279005,500893,115932,120790,1607.9350016,1552058,0.585567433683,0.348695045837,14.3
14,2020-02-24,4,0,2020-05-04,378,22,53063,113,490764,105082,199020,10084,18916,296.38858142,522798,0.416136023952,0.499065267852,13.0
15,2020-02-24,1,0,2020-05-04,325,6,6095,92,434981,90069,109059,75812,31582,544.70103033,447643,0.622546726726,0.317780184152,7.9
16,2020-02-25,1,0,2020-05-05,2832,35,49035,282,1106700,164497,490467,38273,116130,1563.7909353,1160437,0.428482871035,0.326281939521,9.0
17,2020-02-26,1,0,2020-05-06,286,4,6097,82,500943,124291,197589,37428,17940,313.74622239,494336,0.707222967207,0.228093380471,9.9
18,2020-02-26,1,0,2020-05-06,79,2,6055,32,141005,33686,51743,15258,22730,184.08552018,137744,0.647661723566,0.295744312133,8.8
19,2020-02-26,1,0,2020-05-06,244,14,6041,66,260814,72684,81726,43886,46516,497.3152999,258826,0.7881500077310001,0.159458254882,6.6
20,2020-02-28,1,0,2020-05-08,556,12,41067,85,572071,100693,188061,83258,84068,830.61446109,601592,0.593956058164,0.327120163424,8.8
21,2020-02-28,1,0,2020-05-08,6942,487,53033,450,2118119,386511,977642,81556,247854,1065.0027467,2252782,0.7214892465389999,0.217145372921,9.2
22,2020-03-01,1,0,2020-05-10,776,74,12081,90,363542,120595,96829,41125,19780,542.27582552,403253,0.398082018362,0.569574447824,10.4
23,2020-03-01,1,0,2020-05-10,1432,37,12057,432,1351087,257269,531016,74071,131673,1440.3883066,1471968,0.514932646806,0.446883738438,14.7
24,2020-03-01,1,0,2020-05-10,2085,75,6001,282,1629615,300276,462479,256588,237262,2266.8038359,1671329,0.7931424750689999,0.148711258246,9.0
25,2020-03-02,1,0,2020-05-11,7004,661,25021,59,694389,155147,154853,196195,175598,1784.3023037,706775,0.612466844243,0.333083646141,6.5
26,2020-03-02,1,0,2020-05-11,58,1,33009,54,89280,23734,35656,8356,20420,52.607970005,89886,0.569459702387,0.379706381704,9.0
27,2020-03-02,1,0,2020-05-11,104,2,53071,28,59862,13443,22801,2866,6521,47.841294958,60760,0.382898874125,0.546455015722,13.3
28,2020-03-02,2,0,2020-05-11,3516,145,13121,538,1010420,159840,341073,123502,496827,2019.9144194000005,1063937,0.692273308888,0.271069054186,13.5
29,2020-03-02,1,0,2020-05-11,170,8,6061,70,374985,92327,99291,60392,56930,283.09018519,398329,0.411666622379,0.524652565567,7.1
30,2020-03-02,1,0,2020-05-11,1464,65,6081,131,763450,161619,218300,160184,162092,1708.6818505,766573,0.763759178293,0.186891084839,6.8
31,2020-03-03,1,0,2020-05-12,1061,23,37183,175,1023811,157546,403532,88562,113096,1331.7237897,1111761,0.583929619916,0.378923161232,8.4
32,2020-03-03,1,0,2020-05-12,1066,32,6013,163,1123678,231404,283769,212044,88933,1608.6423209000004,1153526,0.689128114392,0.254389718539,7.8
33,2020-03-04,1,0,2020-05-13,17150,1409,34003,147,937920,211672,250231,199786,177837,4004.5571387,932202,0.5449741512899999,0.425090828591,6.8
34,2020-03-04,9,0,2020-05-13,31610,1368,36119,179,975321,214443,282569,171896,152533,2246.9377106,967506,0.649051798386,0.321376675667,8.3
35,2020-03-04,1,0,2020-05-13,1452,40,48157,128,711421,107897,112952,196726,57252,941.89227299,811688,0.516482503543,0.450179938318,7.9
36,2020-03-04,1,0,2020-05-13,165,7,53007,20,75138,18408,27608,4605,9594,26.427687744,77200,0.392850629218,0.549699069852,10.9
37,2020-03-05,1,0,2020-05-14,38743,2485,36059,461,1363069,318040,377465,276223,193326,4767.2768183,1356924,0.512509818244,0.4594004159100001,5.8
38,2020-03-05,1,0,2020-05-14,1154,45,32031,331,445551,95558,189113,15056,14255,74.652791386,471519,0.463642358158,0.4516824189370001,10.4
39,2020-03-05,1,0,2020-05-14,5144,282,32003,535,2112436,405618,896544,15993,21468,287.22956575,2266715,0.523983533245,0.417510102284,14.0
40,2020-03-05,4,0,2020-05-14,8817,193,48201,918,4525519,651673,1886183,159527,461890,2762.5492191,4713325,0.54223505185,0.418271116375,16.5
41,2020-03-05,1,0,2020-05-14,456,10,47187,28,212161,37356,57299,38360,58838,409.03186847,238412,0.296007640879,0.65100286533,3.8
42,2020-03-05,1,0,2020-05-14,18381,1327,25017,216,1582857,319971,548665,268960,337744,1970.6497636,1611699,0.663227499782,0.2817054306,7.3
43,2020-03-05,3,0,2020-05-14,7588,437,24031,150,1039198,209461,318911,213804,179278,2130.9408448,1050688,0.7586602988,0.20324516287,6.9
44,2020-03-05,1,0,2020-05-14,180,9,12113,16,166778,34353,33660,35923,7801,182.05920707,184313,0.210426388508,0.744876017934,9.5
45,2020-03-05,1,0,2020-05-14,1748,107,8059,94,564029,124374,140839,149058,96322,762.59696552,582881,0.490697156002,0.420745713649,7.0
46,2020-03-05,1,0,2020-05-14,621,31,8035,54,320940,50139,67951,89579,47964,417.91548841,351154,0.366530357865,0.547666167354,2.6
47,2020-03-06,1,0,2020-05-15,752,37,40143,379,637123,120771,274047,23216,85413,1142.9119618,651552,0.355548615533,0.583982608484,14.1
48,2020-03-06,1,0,2020-05-15,495,24,37037,4,68364,20511,11803,17017,5570,109.23828497,74470,0.536156601842,0.4353121801430001,9.3
49,2020-03-06,2,0,2020-05-15,12637,434,36087,39,325027,66379,84101,58448,31002,1878.3505416,325789,0.511961143429,0.461082917147,13.9
50,2020-03-06,1,0,2020-05-15,5255,262,34007,199,510996,104370,120977,114556,75864,2288.1000494000004,506471,0.645876146019,0.32217821872,12.9
51,2020-03-06,1,0,2020-05-15,5409,466,42045,100,563384,123831,138021,124591,75980,3083.2498462,566747,0.5939255420740001,0.374111757106,8.8
52,2020-03-06,1,0,2020-05-15,107,7,42127,8,51656,15447,11696,8969,5510,70.784131107,51361,0.28607198748,0.6827185334229999,13.0
53,2020-03-06,1,0,2020-05-15,401,25,53011,90,457474,92850,129918,67262,21720,776.85533336,488241,0.463250316676,0.46270379602,8.8
54,2020-03-06,1,0,2020-05-15,501,10,45019,221,387847,82073,160740,21435,81036,448.18214778,411406,0.506386124538,0.427824850725,14.2
55,2020-03-06,1,0,2020-05-15,1287,61,27123,135,537893,102817,143064,118682,180547,3614.7495441,550321,0.657335200865,0.262957857936,14.6
56,2020-03-06,1,0,2020-05-15,1772,66,53053,189,845193,157501,263500,109312,63098,542.53805418,904980,0.496931108025,0.421727755183,8.7
57,2020-03-06,1,0,2020-05-15,29,0,53031,6,30524,13626,9318,1783,1326,17.863595903,32221,0.624676616915,0.297810945274,12.7
58,2020-03-06,1,0,2020-05-15,354,2,49011,22,334977,45623,79324,68831,34746,1188.6425946,355481,0.215696391206,0.448925578773,5.7
59,2020-03-06,1,0,2020-05-15,261,12,45055,10,63734,15574,13630,12433,5901,91.590862268,66551,0.356467532468,0.604813852814,14.5
60,2020-03-06,1,0,2020-05-15,165,0,49053,32,155577,40002,53020,3587,2954,73.145411344,177556,0.16667826208,0.688176157512,9.7
