res_state_fips,res_county_fips,dest_state_fips,dest_county_fips,workers,margin_of_error
01,001,001,001,8828,752
01,013,001,001,22,25
01,015,001,001,7,12
01,021,001,001,309,137
01,027,001,001,17,24
01,029,001,001,11,16
01,047,001,001,210,86
01,051,001,001,2244,412
01,073,001,001,27,25
01,081,001,001,35,40
01,085,001,001,24,20
01,087,001,001,6,8
01,091,001,001,11,18
01,097,001,001,5,11
01,101,001,001,1348,289
01,109,001,001,2,3
01,117,001,001,58,39
01,123,001,001,2,4
12,113,001,001,21,34
13,089,001,001,24,40
17,121,001,001,2,3
26,125,001,001,8,12
01,003,001,003,60659,1865
01,013,001,003,12,17
01,015,001,003,10,16
01,023,001,003,2,3
01,025,001,003,25,27
01,035,001,003,13,15
01,039,001,003,11,12
01,043,001,003,18,21
01,047,001,003,8,14
01,051,001,003,34,39
01,053,001,003,573,184
01,069,001,003,6,5
01,073,001,003,114,96
01,079,001,003,36,54
01,083,001,003,288,229
01,089,001,003,8,13
01,097,001,003,4256,468
01,099,001,003,61,38
01,101,001,003,27,52
01,123,001,003,2,6
01,125,001,003,34,37
01,127,001,003,4,7
01,129,001,003,20,29
06,037,001,003,29,43
12,033,001,003,1753,345
12,047,001,003,3,5
12,091,001,003,24,29
12,101,001,003,6,10
12,113,001,003,117,64
13,067,001,003,7,11
13,285,001,003,12,20
18,061,001,003,11,19
22,033,001,003,7,11
22,051,001,003,29,44
22,071,001,003,24,27
22,073,001,003,10,15
22,101,001,003,22,31
28,047,001,003,25,32
28,089,001,003,6,9
28,145,001,003,9,16
29,189,001,003,11,18
37,119,001,003,26,41
40,137,001,003,11,15
47,029,001,003,16,22
47,099,001,003,3,4
49,035,001,003,14,25
01,005,001,005,6109,427
01,011,001,005,220,142
01,031,001,005,47,42
01,041,001,005,12,10
01,045,001,005,137,65
01,061,001,005,12,18
01,067,001,005,490,130
01,069,001,005,155,41
01,081,001,005,43,41
01,097,001,005,8,12
01,109,001,005,120,76
01,113,001,005,100,63
13,005,001,005,9,15
13,037,001,005,32,46
13,061,001,005,141,68
13,095,001,005,12,19
13,099,001,005,50,40
13,157,001,005,4,7
13,239,001,005,388,89
13,243,001,005,81,77
13,259,001,005,139,73
13,273,001,005,29,35
17,115,001,005,15,19
21,227,001,005,15,25
21,235,001,005,6,9
28,021,001,005,14,27
37,097,001,005,10,14
47,031,001,005,24,41
51,520,001,005,7,11
55,067,001,005,8,14
01,007,001,007,3444,388
01,009,001,007,20,25
01,019,001,007,29,48
01,021,001,007,120,63
01,023,001,007,11,14
01,025,001,007,8,15
01,037,001,007,40,46
01,047,001,007,99,100
01,065,001,007,16,16
01,073,001,007,217,125
01,091,001,007,3,6
01,105,001,007,102,77
01,107,001,007,2,5
01,111,001,007,23,25
01,115,001,007,42,42
01,117,001,007,108,82
01,121,001,007,19,30
01,125,001,007,436,151
06,093,001,007,7,11
01,009,001,009,7485,465
01,025,001,009,5,8
01,029,001,009,8,12
01,043,001,009,315,132
01,049,001,009,40,40
01,055,001,009,297,109
01,057,001,009,6,9
01,073,001,009,553,196
01,077,001,009,2,3
01,093,001,009,4,8
01,095,001,009,394,111
01,097,001,009,28,45
01,101,001,009,21,33
01,103,001,009,3,4
01,115,001,009,163,126
01,117,001,009,14,20
01,125,001,009,50,81
01,127,001,009,97,62
12,031,001,009,17,26
13,215,001,009,19,28
01,005,001,011,142,89
01,011,001,011,2447,404
01,013,001,011,8,13
01,021,001,011,4,6
01,041,001,011,12,15
01,069,001,011,7,10
01,073,001,011,74,52
01,087,001,011,129,54
01,101,001,011,115,68
01,109,001,011,165,147
01,113,001,011,13,14
01,117,001,011,122,63
01,121,001,011,38,41
13,215,001,011,11,19
01,001,001,013,6,10
01,003,001,013,9,14
01,013,001,013,5584,347
01,031,001,013,2,4
01,035,001,013,149,69
01,039,001,013,108,58
01,041,001,013,263,86
01,045,001,013,19,21
01,051,001,013,5,9
01,053,001,013,6,12
01,073,001,013,19,32
01,081,001,013,43,68
01,085,001,013,198,59
01,099,001,013,42,31
01,101,001,013,169,152
01,109,001,013,4,5
01,131,001,013,167,75
12,113,001,013,54,52
13,087,001,013,13,20
21,015,001,013,11,17
28,033,001,013,14,21
28,039,001,013,15,30
01,003,001,015,29,45
01,009,001,015,34,34
01,015,001,015,36657,1125
01,017,001,015,35,52
01,019,001,015,684,204
01,027,001,015,345,118
01,029,001,015,1246,226
01,031,001,015,3,4
01,043,001,015,54,54
01,045,001,015,7,11
01,049,001,015,35,30
01,055,001,015,1846,335
01,069,001,015,6,9
01,071,001,015,8,11
01,073,001,015,457,202
01,077,001,015,10,14
01,081,001,015,29,42
01,089,001,015,52,44
01,093,001,015,14,22
01,095,001,015,59,42
01,097,001,015,4,7
01,101,001,015,14,22
01,111,001,015,300,116
01,115,001,015,816,214
01,117,001,015,145,76
01,119,001,015,10,14
01,121,001,015,4017,467
01,123,001,015,83,63
01,125,001,015,27,43
01,127,001,015,22,33
12,033,001,015,10,16
12,091,001,015,91,107
13,015,001,015,2,4
13,039,001,015,3,6
13,045,001,015,61,72
13,067,001,015,25,29
13,073,001,015,52,78
13,079,001,015,9,14
13,097,001,015,46,45
13,113,001,015,11,17
13,115,001,015,15,27
13,117,001,015,10,16
13,129,001,015,3,6
13,143,001,015,9,17
13,149,001,015,4,7
13,223,001,015,12,18
13,233,001,015,6,10
17,097,001,015,4,7
25,003,001,015,9,13
37,155,001,015,17,27
42,003,001,015,3,5
42,047,001,015,5,7
45,007,001,015,8,13
45,051,001,015,9,13
47,037,001,015,14,24
48,201,001,015,34,59
48,449,001,015,12,17
54,053,001,015,7,13
01,005,001,017,54,56
01,017,001,017,5403,404
01,027,001,017,18,19
01,049,001,017,12,22
01,055,001,017,3,5
01,081,001,017,1467,338
01,087,001,017,27,19
01,095,001,017,10,13
01,101,001,017,22,22
01,111,001,017,221,86
01,113,001,017,81,90
01,117,001,017,22,36
01,121,001,017,62,84
01,123,001,017,86,71
